comment,rating
"The laptop is excellent, but the battery life is really poor, lasting only two hours even with normal use",3.0
Laptop was good but packing was worst.... package was open .... I was scared that Laptop was fake.... because of this packaging,3.0
Look wise good but battery drains soon,3.0
When copying anything if any video is played transition of the video is not smooth,2.0
I hate this laptop to the core. They gave me laptop with malfunctioning shift key. The retainer clip was of low quality and within a few days of usage the shift key popped and didn't fitted properly. I complained for months but they'll still charge me 7000 rupees despite being in warranty.,1.0
"Wrost battery backup 👎👎,no fingerprint at this price range, display is average if you are planning to do vedio rendering or editing task this might not be the best for you heavy weight midrange gaming not for high end gamers",1.0
Am a first year btech student and this is an amazing laptop. It's best for me. It's speed and lightweight are most attractive features. But the sound is not loud.,4.0
I use for office porpose .i see lot of -ve reviews for the seller in Google but for me It was good,4.0
"In rare case, I observe that sometimes its Keyboard pad stuck.",4.0
Laptop Hang issue,3.0
Its so frustrating DEAR AMAZON CUSTOMER CARE & HP SUPPORT TEAM!!!!,2.0
2. There is redemption offer available,1.0
"The AVITA ULTIMUS has a decent combination of power and style. It is a very fun to use laptop and given its price point, it serves as a safe choice for new laptop users, or students. Simple and colourful, the ULTIMUS has been working fairly well. Of course, I have only spent a few days with it, but as days pass by, I shall use it and give you an update.",5.0
"No Need buy expansive laptop , Avita is Best laptop in Best Price Must by it , it is very good for Student & business work. I am using this laptop from last 45 days amazing battery backup and good screen resolution.",5.0
Good one in this price range...,4.0
This prize very good product.but after sale service not available,4.0
"Not so good , not so bad",3.0
All are good but one speaker is low problem,3.0
More then heat produce in using normal web browsing,2.0
Notepad has heat problem,2.0
"When installing the charger, the laptop opens and closes after removing the charger",1.0
"Other I don't know but which I have purchased it's was bat experience, without plug system was not switching on but only with plug system was switched on.",1.0
The screen quality is super and audio is super,5.0
product is really nice,5.0
"Very good product, amazing style slim.",4.0
Good for office work not recommend for gaming,4.0
must buy you should go for it,3.0
Battery backup low up to 4hours,3.0
"Touch pad not working properly,sometimes laptop hanging doesn’t work.",2.0
"The Microsoft office is licensed version it's a trial version given in laptop, for it we have to buy the Microsoft office separately.",2.0
No service centers in India. Warranty is worthless,1.0
"do not buy this laptop, there is no support, check honor website, there is no phone number or email",1.0
it is best in that price... but check service available in your area or not.. perfomance is very good....,5.0
Best laptop in the budget segment for beginner editing for premierpro & photoshop,5.0
"In the Sub 50K this is the ultimate core i5 12th Gen laptop if anyone wants. Large superb viewing screen plus loud speakers as well as great graphics for rendering videos and stuffs on Adobe premiere pro. But there's no MS office bundled, so you have to install the pirated or buy the the MS office.",4.0
Battery low remaining good,4.0
"Display is amazing and performance is very smooth. Battery is not upto the mark. It gives a screen on time of 4-5 hours instead of 9 hours as claimed by the company even after switching off wifi, bluetooth, backlit and turning on the theme to dark mode.",3.0
"Heating Issue, YouTube videos are playing in lagging, camera quality is not Good.",3.0
Don't buy this product if u need backlite in keyboard,2.0
have been using this laptop for a month now. Sometimes the mouse pad of my laptop starts getting hung and sometimes it starts heating up on its own. I would like to say that do not buy this laptop.,2.0
Face recognition and fingerprint is not working and no option of return. Customer care says visit honour care on your own.,1.0
"Biometric drivers not working, Backlit keyboard not working. Amazon is also not accepting return even from the very next day of purchase. Contacted customer support on a daily basis for continuous 10days, no support. Totally frustrating. 47k loss.",1.0
